indent,category,series_id,basis
6,Men's pants and shorts,CUSR0000SEAA04,SA
5,Boys' apparel,CUSR0000SEAB,SA
4,Women's and girls' apparel,CUSR0000SAA2,SA
5,Women's apparel,CUSR0000SEAC,SA
6,Women's outerwear,CUSR0000SEAC01,SA
6,Women's dresses,CUSR0000SEAC02,SA
6,Women's suits and separates(5),CUSR0000SEAC03,SA
6,"Women's underwear, nightwear, swimwear, and accessories(5)",CUSR0000SEAC04,SA
5,Girls' apparel,CUSR0000SEAD,SA
4,Footwear,CUSR0000SEAE,SA
5,Men's footwear,CUSR0000SEAE01,SA
5,Boys' and girls' footwear(4),CUSR0000SEAE02,SA
5,Women's footwear,CUSR0000SEAE03,SA
4,Infants' and toddlers' apparel,CUSR0000SEAF,SA
4,Jewelry and watches(9),CUSR0000SEAG,SA
5,Watches(4)(9),CUSR0000SEAG01,SA
5,Jewelry(9),CUSR0000SEAG02,SA
3,Transportation commodities less motor fuel(11),CUSR0000SATCLTB,SA
4,New vehicles,CUSR0000SETA01,SA
5,New cars(6),CUSR0000SS45011,SA
5,New trucks(6)(13),CUSR0000SS45021,SA
4,Used cars and trucks,CUSR0000SETA02,SA
4,Motor vehicle parts and equipment(4),CUSR0000SETC,SA
5,Tires(4),CUSR0000SETC01,SA
5,Vehicle accessories other than tires(4)(5),CUUR0000SETC02,NSA
6,Vehicle parts and equipment other than tires(4)(6),CUUR0000SS48021,NSA
6,"Motor oil, coolant, and fluids(4)(6)",CUUR0000SS47021,NSA
3,Medical care commodities(4),CUSR0000SAM1,SA
4,Medicinal drugs(4)(11),CUSR0000SEMF,SA
5,Prescription drugs(4),CUSR0000SEMF01,SA
5,Nonprescription drugs(11),CUSR0000SEMF02,SA
4,Medical equipment and supplies(4)(11),CUUR0000SEMG,NSA
3,Recreation commodities(11),CUSR0000SARC,SA
4,Video and audio products(11),CUSR0000SERAC,SA
5,Televisions(14),CUSR0000SERA01,SA
5,Other video equipment(14),CUSR0000SERA03,SA
5,Audio equipment(4),CUSR0000SERA05,SA
5,Recorded music and music subscriptions(4)(5),CUUR0000SERA06,NSA
4,Pets and pet products(4),CUSR0000SERB01,SA
5,Pet food and treats(4)(5)(6),CUSR0000SS61031,SA
5,"Purchase of pets, pet supplies, accessories(4)(5)(6)",CUSR0000SS61032,SA
4,Sporting goods(4),CUSR0000SERC,SA
5,Sports vehicles including bicycles(4),CUSR0000SERC01,SA
